MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Origin,Age
13.0,8,350.0,145,4055,12.0,1,44
13.0,8,302.0,130,3870,15.0,1,44
13.0,8,318.0,150,3755,14.0,1,44
31.5,4,98.0,68,2045,18.5,3,43
30.0,4,111.0,80,2155,14.8,1,43
36.0,4,79.0,58,1825,18.6,2,43
25.5,4,122.0,96,2300,15.5,1,43
33.5,4,85.0,70,1945,16.8,3,43
17.5,8,305.0,145,3880,12.5,1,43
17.0,8,260.0,110,4060,19.0,1,43
15.5,8,318.0,145,4140,13.7,1,43
15.0,8,302.0,130,4295,14.9,1,43
17.5,6,250.0,110,3520,16.4,1,43
20.5,6,231.0,105,3425,16.9,1,43
19.0,6,225.0,100,3630,17.7,1,43
18.5,6,250.0,98,3525,19.0,1,43
16.0,8,400.0,180,4220,11.1,1,43
15.5,8,350.0,170,4165,11.4,1,43
15.5,8,400.0,190,4325,12.2,1,43
16.0,8,351.0,149,4335,14.5,1,43
29.0,4,97.0,78,1940,14.5,2,43
24.5,4,151.0,88,2740,16.0,1,43
26.0,4,97.0,75,2265,18.2,3,43
25.5,4,140.0,89,2755,15.8,1,43
30.5,4,98.0,63,2051,17.0,1,43
33.5,4,98.0,83,2075,15.9,1,43
30.0,4,97.0,67,1985,16.4,3,43
30.5,4,97.0,78,2190,14.1,2,43
22.0,6,146.0,97,2815,14.5,3,43
21.5,4,121.0,110,2600,12.8,2,43
21.5,3,80.0,110,2720,13.5,3,43
43.1,4,90.0,48,1985,21.5,2,42
36.1,4,98.0,66,1800,14.4,1,42
32.8,4,78.0,52,1985,19.4,3,42
39.4,4,85.0,70,2070,18.6,3,42
36.1,4,91.0,60,1800,16.4,3,42
19.9,8,260.0,110,3365,15.5,1,42
19.4,8,318.0,140,3735,13.2,1,42
20.2,8,302.0,139,3570,12.8,1,42
19.2,6,231.0,105,3535,19.2,1,42
20.5,6,200.0,95,3155,18.2,1,42
20.2,6,200.0,85,2965,15.8,1,42
25.1,4,140.0,88,2720,15.4,1,42
20.5,6,225.0,100,3430,17.2,1,42
19.4,6,232.0,90,3210,17.2,1,42
20.6,6,231.0,105,3380,15.8,1,42
20.8,6,200.0,85,3070,16.7,1,42
18.6,6,225.0,110,3620,18.7,1,42
18.1,6,258.0,120,3410,15.1,1,42
19.2,8,305.0,145,3425,13.2,1,42
17.7,6,231.0,165,3445,13.4,1,42
18.1,8,302.0,139,3205,11.2,1,42
17.5,8,318.0,140,4080,13.7,1,42
30.0,4,98.0,68,2155,16.5,1,42
27.5,4,134.0,95,2560,14.2,3,42
27.2,4,119.0,97,2300,14.7,3,42
30.9,4,105.0,75,2230,14.5,1,42
21.1,4,134.0,95,2515,14.8,3,42
23.2,4,156.0,105,2745,16.7,1,42
23.8,4,151.0,85,2855,17.6,1,42
23.9,4,119.0,97,2405,14.9,3,42
20.3,5,131.0,103,2830,15.9,2,42
17.0,6,163.0,125,3140,13.6,2,42
21.6,4,121.0,115,2795,15.7,2,42
16.2,6,163.0,133,3410,15.8,2,42
31.5,4,89.0,71,1990,14.9,2,42
29.5,4,98.0,68,2135,16.6,3,42
21.5,6,231.0,115,3245,15.4,1,41
19.8,6,200.0,85,2990,18.2,1,41
22.3,4,140.0,88,2890,17.3,1,41
20.2,6,232.0,90,3265,18.2,1,41
20.6,6,225.0,110,3360,16.6,1,41
17.0,8,305.0,130,3840,15.4,1,41
17.6,8,302.0,129,3725,13.4,1,41
16.5,8,351.0,138,3955,13.2,1,41
18.2,8,318.0,135,3830,15.2,1,41
16.9,8,350.0,155,4360,14.9,1,41
15.5,8,351.0,142,4054,14.3,1,41
19.2,8,267.0,125,3605,15.0,1,41
18.5,8,360.0,150,3940,13.0,1,41
31.9,4,89.0,71,1925,14.0,2,41
34.1,4,86.0,65,1975,15.2,3,41
35.7,4,98.0,80,1915,14.4,1,41
27.4,4,121.0,80,2670,15.0,1,41
25.4,5,183.0,77,3530,20.1,2,41
23.0,8,350.0,125,3900,17.4,1,41
27.2,4,141.0,71,3190,24.8,2,41
23.9,8,260.0,90,3420,22.2,1,41
34.2,4,105.0,70,2200,13.2,1,41
34.5,4,105.0,70,2150,14.9,1,41
31.8,4,85.0,65,2020,19.2,3,41
37.3,4,91.0,69,2130,14.7,2,41
28.4,4,151.0,90,2670,16.0,1,41
28.8,6,173.0,115,2595,11.3,1,41
26.8,6,173.0,115,2700,12.9,1,41
33.5,4,151.0,90,2556,13.2,1,41
41.5,4,98.0,76,2144,14.7,2,40
38.1,4,89.0,60,1968,18.8,3,40
32.1,4,98.0,70,2120,15.5,1,40
37.2,4,86.0,65,2019,16.4,3,40
28.0,4,151.0,90,2678,16.5,1,40
26.4,4,140.0,88,2870,18.1,1,40
24.3,4,151.0,90,3003,20.1,1,40
19.1,6,225.0,90,3381,18.7,1,40
34.3,4,97.0,78,2188,15.8,2,40
29.8,4,134.0,90,2711,15.5,3,40
31.3,4,120.0,75,2542,17.5,3,40
37.0,4,119.0,92,2434,15.0,3,40
32.2,4,108.0,75,2265,15.2,3,40
46.6,4,86.0,65,2110,17.9,3,40
27.9,4,156.0,105,2800,14.4,1,40
40.8,4,85.0,65,2110,19.2,3,40
44.3,4,90.0,48,2085,21.7,2,40
43.4,4,90.0,48,2335,23.7,2,40
36.4,5,121.0,67,2950,19.9,2,40
30.0,4,146.0,67,3250,21.8,2,40
44.6,4,91.0,67,1850,13.8,3,40
33.8,4,97.0,67,2145,18.0,3,40
29.8,4,89.0,62,1845,15.3,2,40
32.7,6,168.0,132,2910,11.4,3,40
23.7,3,70.0,100,2420,12.5,3,40
35.0,4,122.0,88,2500,15.1,2,40
32.4,4,107.0,72,2290,17.0,3,40
27.2,4,135.0,84,2490,15.7,1,39
26.6,4,151.0,84,2635,16.4,1,39
25.8,4,156.0,92,2620,14.4,1,39
23.5,6,173.0,110,2725,12.6,1,39
30.0,4,135.0,84,2385,12.9,1,39
39.1,4,79.0,58,1755,16.9,3,39
39.0,4,86.0,64,1875,16.4,1,39
35.1,4,81.0,60,1760,16.1,3,39
32.3,4,97.0,67,2065,17.8,3,39
37.0,4,85.0,65,1975,19.4,3,39
37.7,4,89.0,62,2050,17.3,3,39
34.1,4,91.0,68,1985,16.0,3,39
34.7,4,105.0,63,2215,14.9,1,39
34.4,4,98.0,65,2045,16.2,1,39
29.9,4,98.0,65,2380,20.7,1,39
33.0,4,105.0,74,2190,14.2,2,39
33.7,4,107.0,75,2210,14.4,3,39
32.4,4,108.0,75,2350,16.8,3,39
32.9,4,119.0,100,2615,14.8,3,39
31.6,4,120.0,74,2635,18.3,3,39
28.1,4,141.0,80,3230,20.4,2,39
30.7,6,145.0,76,3160,19.6,2,39
25.4,6,168.0,116,2900,12.6,3,39
24.2,6,146.0,120,2930,13.8,3,39
22.4,6,231.0,110,3415,15.8,1,39
26.6,8,350.0,105,3725,19.0,1,39
20.2,6,200.0,88,3060,17.1,1,39
17.6,6,225.0,85,3465,16.6,1,39
28.0,4,112.0,88,2605,19.6,1,38
27.0,4,112.0,88,2640,18.6,1,38
34.0,4,112.0,88,2395,18.0,1,38
31.0,4,112.0,85,2575,16.2,1,38
29.0,4,135.0,84,2525,16.0,1,38
27.0,4,151.0,90,2735,18.0,1,38
24.0,4,140.0,92,2865,16.4,1,38
36.0,4,105.0,74,1980,15.3,2,38
37.0,4,91.0,68,2025,18.2,3,38
31.0,4,91.0,68,1970,17.6,3,38
38.0,4,105.0,63,2125,14.7,1,38
36.0,4,98.0,70,2125,17.3,1,38
36.0,4,120.0,88,2160,14.5,3,38
36.0,4,107.0,75,2205,14.5,3,38
34.0,4,108.0,70,2245,16.9,3,38
38.0,4,91.0,67,1965,15.0,3,38
32.0,4,91.0,67,1965,15.7,3,38
38.0,4,91.0,67,1995,16.2,3,38
25.0,6,181.0,110,2945,16.4,1,38
38.0,6,262.0,85,3015,17.0,1,38
26.0,4,156.0,92,2585,14.5,1,38
22.0,6,232.0,112,2835,14.7,1,38
32.0,4,144.0,96,2665,13.9,3,38
36.0,4,135.0,84,2370,13.0,1,38
27.0,4,151.0,90,2950,17.3,1,38
27.0,4,140.0,86,2790,15.6,1,38
44.0,4,97.0,52,2130,24.6,2,38
32.0,4,135.0,84,2295,11.6,1,38
28.0,4,120.0,79,2625,18.6,1,38
31.0,4,119.0,82,2720,19.4,1,38
